org_id,period,dengue_cases,org_name,t2m_mean_c_month,tp_sum_mm_month,rh2m_mean_month,population,population_year
LAO_ADM1_0009,2010-12,36.0,OUDOMXAI,17.950653782619817,1.1266296173542283,77.15107115209173,194143.6153382063,2020
LAO_ADM1_0010,1998-01,0.0,PHONGSALI,17.591163110895543,0.56820425128085,67.32746063314507,40280.42340046168,2020
LAO_ADM1_0010,1998-02,0.0,PHONGSALI,18.57641778362872,0.861708238204705,62.05159887318964,40280.42340046168,2020
LAO_ADM1_0010,1998-03,0.0,PHONGSALI,22.732104108826302,3.612769021092171,52.46740069353478,40280.42340046168,2020
LAO_ADM1_0010,1998-04,0.0,PHONGSALI,22.135688873850537,5.723378637745914,79.31663536501271,40280.42340046168,2020
LAO_ADM1_0010,1998-05,0.0,PHONGSALI,24.01469801790406,7.9680341992442285,81.60262812278788,40280.42340046168,2020
LAO_ADM1_0010,1998-06,0.0,PHONGSALI,23.44856111691401,14.4731049363748,90.22289768243175,40280.42340046168,2020
LAO_ADM1_0010,1998-07,0.0,PHONGSALI,22.873080260161842,12.278914640165285,89.83924968149636,40280.42340046168,2020
LAO_ADM1_0010,1998-08,0.0,PHONGSALI,22.982132699415775,9.094627474593942,90.13643546997412,40280.42340046168,2020
LAO_ADM1_0010,1998-09,0.0,PHONGSALI,22.679481512007964,6.34864232296001,83.59817309877498,40280.42340046168,2020
LAO_ADM1_0010,1998-10,0.0,PHONGSALI,21.660375577138122,2.10906287280478,78.85779566687793,40280.42340046168,2020
LAO_ADM1_0010,1998-11,0.0,PHONGSALI,18.970794280951246,1.2909656378868795,76.65435432681443,40280.42340046168,2020
LAO_ADM1_0010,1998-12,0.0,PHONGSALI,16.250914607776973,1.476468495155936,78.6632062935905,40280.42340046168,2020
LAO_ADM1_0010,1999-01,0.0,PHONGSALI,15.89725397867585,1.265266628050121,78.57260113987448,40280.42340046168,2020
LAO_ADM1_0010,1999-02,0.0,PHONGSALI,19.061006697145526,0.4321106200326875,66.97184071936522,40280.42340046168,2020
LAO_ADM1_0010,1999-03,0.0,PHONGSALI,22.306933794864424,1.2758576513302,56.29494377023485,40280.42340046168,2020
LAO_ADM1_0010,1999-04,0.0,PHONGSALI,22.355579723792673,5.235629768502144,82.82679039530086,40280.42340046168,2020
LAO_ADM1_0010,1999-05,0.0,PHONGSALI,21.328821494318714,10.274757165701406,88.53207634201691,40280.42340046168,2020
LAO_ADM1_0010,1999-06,0.0,PHONGSALI,23.092531807764875,9.519710772483098,87.94925992743724,40280.42340046168,2020
LAO_ADM1_0010,1999-07,0.0,PHONGSALI,22.73694446969321,11.622138642416859,91.35184033559753,40280.42340046168,2020
LAO_ADM1_0010,1999-08,0.0,PHONGSALI,21.758486669543974,11.74203442673797,94.06158243643488,40280.42340046168,2020
LAO_ADM1_0010,1999-09,0.0,PHONGSALI,21.782269142456414,6.921739782688151,90.2746761550803,40280.42340046168,2020
LAO_ADM1_0010,1999-10,0.0,PHONGSALI,20.794385006628996,3.6698849461855496,86.17253572567101,40280.42340046168,2020
LAO_ADM1_0010,1999-11,0.0,PHONGSALI,17.773191163977955,1.5004630846344154,82.90740199058958,40280.42340046168,2020
LAO_ADM1_0010,1999-12,0.0,PHONGSALI,12.710291116949428,1.3821492734167709,75.58678155175542,40280.42340046168,2020
LAO_ADM1_0010,2000-01,0.0,PHONGSALI,15.313954366649652,0.844260819840058,69.90950335061525,40280.42340046168,2020
LAO_ADM1_0010,2000-02,0.0,PHONGSALI,16.50752391694658,3.8566018522209955,72.62914898410449,40280.42340046168,2020
LAO_ADM1_0010,2000-03,0.0,PHONGSALI,20.031037284091244,1.0250575910067303,66.4781276381279,40280.42340046168,2020
LAO_ADM1_0010,2000-04,0.0,PHONGSALI,22.25096287629992,5.364518314720095,79.24220974628471,40280.42340046168,2020
LAO_ADM1_0010,2000-05,0.0,PHONGSALI,21.67175531931304,10.227303542229123,88.90412384889595,40280.42340046168,2020
LAO_ADM1_0010,2000-06,0.0,PHONGSALI,22.31415127017543,11.849072650372129,90.50171740013629,40280.42340046168,2020
LAO_ADM1_0010,2000-07,0.0,PHONGSALI,22.43385387525856,14.500009021250378,91.24608300028378,40280.42340046168,2020
LAO_ADM1_0010,2000-08,0.0,PHONGSALI,22.607398945915072,10.920268800919276,90.31532557155366,40280.42340046168,2020
LAO_ADM1_0010,2000-09,0.0,PHONGSALI,21.417832206767063,5.9779376747935355,88.5691947685475,40280.42340046168,2020
LAO_ADM1_0010,2000-10,0.0,PHONGSALI,20.511220273284984,4.5043962031845135,88.85790873624791,40280.42340046168,2020
LAO_ADM1_0010,2000-11,0.0,PHONGSALI,17.6611751402207,0.7019909967520767,80.25930756228841,40280.42340046168,2020
LAO_ADM1_0010,2000-12,0.0,PHONGSALI,15.947667072234882,1.1765632088685405,82.14352726837188,40280.42340046168,2020
LAO_ADM1_0010,2001-01,0.0,PHONGSALI,16.479632956143465,0.7506159664608099,74.72210593573932,40280.42340046168,2020
LAO_ADM1_0010,2001-02,0.0,PHONGSALI,17.71278785277566,1.0978499951188838,71.05559705397089,40280.42340046168,2020
LAO_ADM1_0010,2001-03,0.0,PHONGSALI,19.489188750177394,4.755140274091212,82.11922809173876,40280.42340046168,2020
LAO_ADM1_0010,2001-04,0.0,PHONGSALI,23.50611374125323,2.9493436753940347,72.23137599231828,40280.42340046168,2020
LAO_ADM1_0010,2001-05,0.0,PHONGSALI,21.32860567316721,14.64229665863794,91.75385875453165,40280.42340046168,2020
LAO_ADM1_0010,2001-06,0.0,PHONGSALI,23.02211752031022,10.420325654047033,87.03224717037767,40280.42340046168,2020
LAO_ADM1_0010,2001-07,0.0,PHONGSALI,22.418075152845514,14.984244739951542,91.4869172583792,40280.42340046168,2020
LAO_ADM1_0010,2001-08,0.0,PHONGSALI,23.34653331393199,7.865553542949587,87.39507070169873,40280.42340046168,2020
LAO_ADM1_0010,2001-09,0.0,PHONGSALI,22.444677447997638,6.063054443939925,88.29785192630358,40280.42340046168,2020
LAO_ADM1_0010,2001-10,0.0,PHONGSALI,20.72726317601341,5.361168951229405,88.92209160559659,40280.42340046168,2020
LAO_ADM1_0010,2001-11,0.0,PHONGSALI,16.372395359689893,1.0293316297885051,77.86653912637226,40280.42340046168,2020
LAO_ADM1_0010,2001-12,0.0,PHONGSALI,16.15673247120719,0.412042134813506,75.879500743649,40280.42340046168,2020
LAO_ADM1_0010,2002-01,0.0,PHONGSALI,14.883450465481571,2.145754134590246,78.90231798273592,40280.42340046168,2020
LAO_ADM1_0010,2002-02,0.0,PHONGSALI,17.695667909087426,1.4310927686475894,75.63967269650004,40280.42340046168,2020
LAO_ADM1_0010,2002-03,0.0,PHONGSALI,20.890894266054403,1.2634667141966787,63.81390780275885,40280.42340046168,2020
LAO_ADM1_0010,2002-04,0.0,PHONGSALI,23.719312182748823,2.0568417640128267,63.301412436600366,40280.42340046168,2020
LAO_ADM1_0010,2002-05,0.0,PHONGSALI,22.336331553770375,12.783649488294351,87.08119328372669,40280.42340046168,2020
LAO_ADM1_0010,2002-06,0.0,PHONGSALI,22.885455865847742,13.353721826136647,90.33064333212373,40280.42340046168,2020
LAO_ADM1_0010,2002-07,0.0,PHONGSALI,22.11645390501132,17.616039281053787,94.23177573327355,40280.42340046168,2020
LAO_ADM1_0010,2002-08,0.0,PHONGSALI,22.316766421190867,10.734477642907619,89.30792281573089,40280.42340046168,2020
LAO_ADM1_0010,2002-09,0.0,PHONGSALI,22.673215441870937,4.329845203407805,80.98394011904996,40280.42340046168,2020
LAO_ADM1_0010,2002-10,0.0,PHONGSALI,20.53095685518815,4.64576788655843,83.12261630636121,40280.42340046168,2020
LAO_ADM1_0010,2002-11,0.0,PHONGSALI,17.330776760633555,3.193533561286149,85.95257003382248,40280.42340046168,2020
LAO_ADM1_0010,2002-12,0.0,PHONGSALI,15.435568805846694,2.3443518558753023,87.06879405676018,40280.42340046168,2020
LAO_ADM1_0010,2003-01,0.0,PHONGSALI,14.406883717763556,2.9651632689026957,84.64271055828527,40280.42340046168,2020
LAO_ADM1_0010,2003-02,0.0,PHONGSALI,17.192604098335334,2.172451608429026,77.45425731844442,40280.42340046168,2020
LAO_ADM1_0010,2003-03,0.0,PHONGSALI,18.904213592244087,3.791494595706089,76.52000912701193,40280.42340046168,2020
LAO_ADM1_0010,2003-04,0.0,PHONGSALI,23.4075508748104,3.4899697541496497,72.1210376510225,40280.42340046168,2020
LAO_ADM1_0010,2003-05,0.0,PHONGSALI,23.859801696389063,6.92583988556134,78.45191821203038,40280.42340046168,2020
