org_id,period,dengue_cases,org_name,t2m_mean_c_month,tp_sum_mm_month,population,population_year
VNM_ADM1_0001,1998-01,94.0,DA NANG CITY,22.464039606574897,3.9028271857291825,912501.9879307896,2010
VNM_ADM1_0001,1998-02,26.0,DA NANG CITY,23.1728568922045,2.5663140956906343,912501.9879307896,2010
VNM_ADM1_0001,1998-03,9.0,DA NANG CITY,25.194264117913583,1.175982280673043,912501.9879307896,2010
VNM_ADM1_0001,1998-04,11.0,DA NANG CITY,26.919222709525165,4.126259050338764,912501.9879307896,2010
VNM_ADM1_0001,1998-05,20.0,DA NANG CITY,27.517565181562087,9.350741841895752,912501.9879307896,2010
VNM_ADM1_0001,1998-06,50.0,DA NANG CITY,28.558860376923178,6.417437313823513,912501.9879307896,2010
VNM_ADM1_0001,1998-07,348.0,DA NANG CITY,28.202850162968,5.6413446730877075,912501.9879307896,2010
VNM_ADM1_0001,1998-08,1237.0,DA NANG CITY,27.357714104260438,6.868703889298216,912501.9879307896,2010
VNM_ADM1_0001,1998-09,678.0,DA NANG CITY,25.723146855466847,22.387441327277056,912501.9879307896,2010
VNM_ADM1_0001,1998-10,729.0,DA NANG CITY,24.29302466412477,11.032266123805863,912501.9879307896,2010
VNM_ADM1_0001,1998-11,524.0,DA NANG CITY,23.085017027990407,28.268143741987615,912501.9879307896,2010
VNM_ADM1_0001,1998-12,260.0,DA NANG CITY,20.755038350457284,13.145361513600458,912501.9879307896,2010
VNM_ADM1_0001,1999-01,69.0,DA NANG CITY,20.264868399399308,10.101509825744046,912501.9879307896,2010
VNM_ADM1_0001,1999-02,16.0,DA NANG CITY,21.04967336207116,6.90177505366531,912501.9879307896,2010
VNM_ADM1_0001,1999-03,20.0,DA NANG CITY,24.51295034795414,2.624021894397147,912501.9879307896,2010
VNM_ADM1_0001,1999-04,26.0,DA NANG CITY,25.09557428343953,9.056753938275707,912501.9879307896,2010
VNM_ADM1_0001,1999-05,27.0,DA NANG CITY,25.525694155380762,9.012367148210945,912501.9879307896,2010
VNM_ADM1_0001,1999-06,13.0,DA NANG CITY,27.125802321625784,6.645684362410668,912501.9879307896,2010
VNM_ADM1_0001,1999-07,9.0,DA NANG CITY,27.683862812207526,7.0004630009551025,912501.9879307896,2010
VNM_ADM1_0001,1999-08,6.0,DA NANG CITY,27.27653276584602,4.1582812299160326,912501.9879307896,2010
VNM_ADM1_0001,1999-09,13.0,DA NANG CITY,25.76822511662091,10.077550275915598,912501.9879307896,2010
VNM_ADM1_0001,1999-10,9.0,DA NANG CITY,24.232634948102483,15.040257972868861,912501.9879307896,2010
VNM_ADM1_0001,1999-11,5.0,DA NANG CITY,22.884987781431455,23.83808117717333,912501.9879307896,2010
VNM_ADM1_0001,1999-12,7.0,DA NANG CITY,18.820404750415193,26.092702917551268,912501.9879307896,2010
VNM_ADM1_0001,2000-01,0.0,DA NANG CITY,20.64519554877997,8.196044989742393,912501.9879307896,2010
VNM_ADM1_0001,2000-02,0.0,DA NANG CITY,20.54105498944126,3.3355749453115657,912501.9879307896,2010
VNM_ADM1_0001,2000-03,0.0,DA NANG CITY,22.61098292830188,1.9516566933708777,912501.9879307896,2010
VNM_ADM1_0001,2000-04,0.0,DA NANG CITY,25.52779291083004,12.036007805770142,912501.9879307896,2010
VNM_ADM1_0001,2000-05,0.0,DA NANG CITY,26.07598720735603,12.516811251258284,912501.9879307896,2010
VNM_ADM1_0001,2000-06,0.0,DA NANG CITY,26.73817553682353,9.66421321030712,912501.9879307896,2010
VNM_ADM1_0001,2000-07,0.0,DA NANG CITY,26.96092850768682,7.382270462663004,912501.9879307896,2010
VNM_ADM1_0001,2000-08,0.0,DA NANG CITY,27.232921149652512,9.815792078828904,912501.9879307896,2010
VNM_ADM1_0001,2000-09,1.0,DA NANG CITY,25.423161280181073,6.832319743840945,912501.9879307896,2010
VNM_ADM1_0001,2000-10,1.0,DA NANG CITY,24.02414229528061,14.017292922416905,912501.9879307896,2010
VNM_ADM1_0001,2000-11,3.0,DA NANG CITY,21.881817781607115,26.931444154167576,912501.9879307896,2010
VNM_ADM1_0001,2000-12,0.0,DA NANG CITY,20.894767071054527,24.731348644811973,912501.9879307896,2010
VNM_ADM1_0001,2001-01,1.0,DA NANG CITY,21.358505450785355,3.8973751163970722,912501.9879307896,2010
VNM_ADM1_0001,2001-02,3.0,DA NANG CITY,20.92889932770919,5.4704947740013825,912501.9879307896,2010
VNM_ADM1_0001,2001-03,4.0,DA NANG CITY,23.108651010899006,7.23356836347286,912501.9879307896,2010
VNM_ADM1_0001,2001-04,1.0,DA NANG CITY,26.402846532466288,0.9084779659822961,912501.9879307896,2010
VNM_ADM1_0001,2001-05,2.0,DA NANG CITY,26.61720541392767,11.382562740682625,912501.9879307896,2010
VNM_ADM1_0001,2001-06,10.0,DA NANG CITY,27.233323913598674,8.773681817758517,912501.9879307896,2010
VNM_ADM1_0001,2001-07,6.0,DA NANG CITY,27.811866236824113,5.0451461782636295,912501.9879307896,2010
VNM_ADM1_0001,2001-08,15.0,DA NANG CITY,26.645659404228496,11.899380865132006,912501.9879307896,2010
VNM_ADM1_0001,2001-09,13.0,DA NANG CITY,26.137447189871892,7.915549169865624,912501.9879307896,2010
VNM_ADM1_0001,2001-10,39.0,DA NANG CITY,24.51973450066121,12.101024158880595,912501.9879307896,2010
VNM_ADM1_0001,2001-11,30.0,DA NANG CITY,21.907715999838583,11.930244616016894,912501.9879307896,2010
VNM_ADM1_0001,2001-12,17.0,DA NANG CITY,20.520415687661913,14.094095278011439,912501.9879307896,2010
